Timestamp,Feature,Pipeline,Model,Accuracy,F1_Macro,AUC_OVR,mAP,Train_Time,Model_File,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,auc_ovr,map,training_time,confusion_matrix
20260129_214623,Fusion_PCA(FFT+MFCC+STFT),Individual_PCA,ET,0.725,0.7223837033834037,0.91765,0.814865589682501,0.3970448970794678,fusion_pca_et_20260129_214623.joblib,0.7309786980780139,0.7250000000000001,0.7223837033834037,0.7309786980780139,0.725,0.7223837033834037,0.9176500000000001,0.814865589682501,0.3970448970794678,"[[43, 5, 1, 1], [16, 29, 3, 2], [2, 5, 38, 5], [3, 2, 10, 35]]"
20260129_213827,Fusion_FFTs_STFTs,Raw,ET,0.725,0.7241665018206359,0.94015,0.8531760250750428,0.8823757171630859,fusion_ffts_stfts_raw_et_20260129_213827.joblib,0.748333234562048,0.725,0.7241665018206359,0.7483332345620483,0.725,0.7241665018206359,0.94015,0.8531760250750428,0.8823757171630859,"[[42, 5, 3, 0], [12, 29, 8, 1], [3, 4, 41, 2], [2, 1, 14, 33]]"
20260129_213827,Fusion_FFTs_STFTs,Scaled,ET,0.725,0.7241665018206359,0.94025,0.8533012394891372,0.7555339336395264,fusion_ffts_stfts_scaled_et_20260129_213827.joblib,0.748333234562048,0.725,0.7241665018206359,0.7483332345620483,0.725,0.7241665018206359,0.94025,0.8533012394891372,0.7555339336395264,"[[42, 5, 3, 0], [12, 29, 8, 1], [3, 4, 41, 2], [2, 1, 14, 33]]"
20260129_212200,FFTs,Scaled,ET,0.72,0.720943591554087,0.93055,0.8266674287711696,0.5125277042388916,ffts_scaled_et_20260129_212200.joblib,0.738688191031941,0.72,0.720943591554087,0.7386881910319409,0.72,0.7209435915540869,0.93055,0.8266674287711696,0.5125277042388916,"[[39, 8, 3, 0], [12, 29, 9, 0], [1, 6, 41, 2], [3, 1, 11, 35]]"
20260129_213401,STFTs,Scaled,KNN,0.71,0.7112743886937436,0.8856999999999999,0.7255710022726825,0.0041751861572265,stfts_scaled_knn_20260129_213401.joblib,0.7262523434548005,0.71,0.7112743886937436,0.7262523434548005,0.71,0.7112743886937435,0.8856999999999999,0.7255710022726825,0.0041751861572265625,"[[42, 7, 1, 0], [14, 31, 3, 2], [7, 7, 33, 3], [4, 4, 6, 36]]"
20260129_213401,STFTs,Scaled,ET,0.705,0.7059611622668795,0.9150166666666668,0.7883164786504201,0.4732193946838379,stfts_scaled_et_20260129_213401.joblib,0.722496141639482,0.705,0.7059611622668795,0.722496141639482,0.705,0.7059611622668795,0.9150166666666667,0.7883164786504201,0.4732193946838379,"[[42, 7, 1, 0], [13, 28, 9, 0], [3, 8, 37, 2], [1, 4, 11, 34]]"
20260129_213401,STFTs,Raw,ET,0.705,0.7059611622668795,0.9151166666666666,0.7886416319808277,0.8544738292694092,stfts_raw_et_20260129_213401.joblib,0.722496141639482,0.705,0.7059611622668795,0.722496141639482,0.705,0.7059611622668795,0.9151166666666666,0.7886416319808277,0.8544738292694092,"[[42, 7, 1, 0], [13, 28, 9, 0], [3, 8, 37, 2], [1, 4, 11, 34]]"
20260129_214623,Fusion_PCA(FFT+MFCC+STFT),Individual_PCA,RF,0.7,0.6980802739197149,0.9179666666666666,0.8093336496909828,0.61081862449646,fusion_pca_rf_20260129_214623.joblib,0.7059888267211375,0.7,0.6980802739197149,0.7059888267211375,0.7,0.6980802739197149,0.9179666666666666,0.8093336496909828,0.61081862449646,"[[43, 6, 0, 1], [13, 31, 5, 1], [6, 7, 31, 6], [3, 3, 9, 35]]"
20260129_214850,Fusion_PCA(FFTs+MFCCs+STFT),Individual_PCA,RF,0.7,0.6980802739197149,0.9179666666666666,0.8093336496909828,0.5104422569274902,fusion_ffts_mfccs_stft_pca_rf_20260129_214850.joblib,0.7059888267211375,0.7,0.6980802739197149,0.7059888267211375,0.7,0.6980802739197149,0.9179666666666666,0.8093336496909828,0.5104422569274902,"[[43, 6, 0, 1], [13, 31, 5, 1], [6, 7, 31, 6], [3, 3, 9, 35]]"
20260129_213401,STFTs,Raw,KNN,0.695,0.6944990739924155,0.8971,0.7454248421206918,0.0049488544464111,stfts_raw_knn_20260129_213401.joblib,0.7081418581418581,0.6949999999999998,0.6944990739924155,0.708141858141858,0.695,0.6944990739924155,0.8971,0.7454248421206918,0.004948854446411133,"[[41, 8, 1, 0], [17, 26, 5, 2], [5, 7, 36, 2], [3, 1, 10, 36]]"
