Timestamp,Feature,Pipeline,Model,Accuracy,F1_Macro,AUC_OVR,mAP,Train_Time,Model_File
20260129_212358,MFCC_Default,Scaled,SVM,0.64,0.6464195867026056,0.8783000000000001,0.744208473324045,1.30670428276062,mfcc_default_scaled_svm_20260129_212358.joblib
20260129_212948,Fusion_FFT_STFT,Scaled,ET,0.635,0.6370557030400236,0.8624833333333333,0.7142729903544978,0.3553423881530761,fusion_fft_stft_scaled_et_20260129_212948.joblib
20260129_212358,MFCC_Default,Raw,KNN,0.63,0.6316546167128286,0.8610833333333332,0.6657450422153602,0.0071203708648681,mfcc_default_raw_knn_20260129_212358.joblib
20260129_214220,MFCCs,Scaled,KNN,0.625,0.6263030411962595,0.8594166666666666,0.67868905293422,0.0011403560638427,mfccs_scaled_knn_20260129_214220.joblib
20260129_212948,Fusion_FFT_STFT,Raw,ET,0.625,0.6262022142375763,0.8613666666666667,0.7132821412043128,0.308873176574707,fusion_fft_stft_raw_et_20260129_212948.joblib
20260129_212358,MFCC_Default,Scaled,KNN,0.625,0.6278967941137827,0.8444,0.6394816120297364,0.003563642501831,mfcc_default_scaled_knn_20260129_212358.joblib
20260129_212948,Fusion_FFT_STFT,Scaled,RF,0.61,0.6106647360813847,0.8584333333333334,0.7043036552273148,1.7496140003204346,fusion_fft_stft_scaled_rf_20260129_212948.joblib
20260129_212948,Fusion_FFT_STFT,Raw,RF,0.61,0.6143099559572531,0.8556833333333332,0.7033717916271173,1.5805249214172363,fusion_fft_stft_raw_rf_20260129_212948.joblib
20260129_213401,STFTs,Scaled,SVM,0.605,0.6001630957660533,0.8629333333333333,0.7043477132200087,16.278096675872803,stfts_scaled_svm_20260129_213401.joblib
20260129_214355,Fusion_FFT_MFCC,Raw,RF,0.6,0.6038113308524226,0.83595,0.6709529808154095,0.6217203140258789,fusion_fft_mfcc_raw_rf_20260129_214355.joblib
20260129_214355,Fusion_FFT_MFCC,Scaled,RF,0.595,0.5982375758111051,0.83625,0.6705584681879048,0.6293380260467529,fusion_fft_mfcc_scaled_rf_20260129_214355.joblib
20260129_214355,Fusion_FFT_MFCC,Raw,ET,0.565,0.5695166438668491,0.8146500000000001,0.6373310376628981,0.3186469078063965,fusion_fft_mfcc_raw_et_20260129_214355.joblib
20260129_212948,Fusion_FFT_STFT,Scaled,KNN,0.56,0.56484281287485,0.78595,0.5688117626893509,0.0030417442321777,fusion_fft_stft_scaled_knn_20260129_212948.joblib
20260129_214355,Fusion_FFT_MFCC,Scaled,ET,0.56,0.5650206546811151,0.8146833333333333,0.637802743021976,0.3199460506439209,fusion_fft_mfcc_scaled_et_20260129_214355.joblib
20260129_212631,STFT,Raw,SVM,0.545,0.5362004121547845,0.8137666666666666,0.6711765397437974,9.119988918304443,stft_raw_svm_20260129_212631.joblib
20260129_214355,Fusion_FFT_MFCC,Scaled,LR,0.535,0.5357620053937499,0.7910666666666667,0.5990432476992684,8.21168303489685,fusion_fft_mfcc_scaled_lr_20260129_214355.joblib
20260129_215234,Fusion_FFTs_MFCC_STFT,Raw,SVM,0.52,0.5101414903534776,0.8060666666666666,0.6260979002350692,47.86037302017212,fusion_ffts_mfcc_stft_raw_svm_20260129_215234.joblib
20260129_214355,Fusion_FFT_MFCC,Scaled,SVM,0.505,0.4967185515972093,0.7274,0.5225245012602536,4.153673410415649,fusion_fft_mfcc_scaled_svm_20260129_214355.joblib
20260129_214355,Fusion_FFT_MFCC,Scaled,KNN,0.505,0.4996105664488017,0.7239833333333334,0.4787458767508017,0.0013575553894042,fusion_fft_mfcc_scaled_knn_20260129_214355.joblib
20260129_211831,FFT_Origin,Scaled,ET,0.435,0.4383329736265628,0.68825,0.4632640268195652,0.4886417388916015,fft_origin_scaled_et_20260129_211831.joblib
20260129_212358,MFCC_Default,Scaled,LR,0.42,0.4156361480075901,0.6878333333333333,0.4813394047994636,0.0167460441589355,mfcc_default_scaled_lr_20260129_212358.joblib
20260129_211831,FFT_Origin,Raw,SVM,0.42,0.4225614439324117,0.7155,0.4620469960092668,10.06389331817627,fft_origin_raw_svm_20260129_211831.joblib
20260129_211831,FFT_Origin,Raw,ET,0.415,0.4180965577250407,0.6829666666666667,0.4530306217056102,0.5081503391265869,fft_origin_raw_et_20260129_211831.joblib
20260129_212358,MFCC_Default,Raw,LR,0.415,0.4218853626450091,0.6756666666666666,0.4569665060324454,0.2202792167663574,mfcc_default_raw_lr_20260129_212358.joblib
20260129_214623,Fusion_PCA(FFT+MFCC+STFT),Individual_PCA,SVM,0.405,0.3631090499642116,0.7136333333333333,0.4772223472088797,5.384249687194824,fusion_pca_svm_20260129_214623.joblib
20260129_214850,Fusion_PCA(FFTs+MFCCs+STFT),Individual_PCA,SVM,0.405,0.3631090499642116,0.7136333333333333,0.4772223472088797,4.189138650894165,fusion_ffts_mfccs_stft_pca_svm_20260129_214850.joblib
